"","name_","integer_","total_","na_count_","median_","min_","max_","stain","mutuality"
"175","h2axpositive_intensity_cell_mitotrackerdeepred_mean_stdev","FALSE","8216","1722","1250","0.0426","38700","mito","TRUE"
"176","h2axpositive_nucleus_hoechst_ser_spot_1px_mean","FALSE","8216","1035","0.0217","0.00618","0.0489","hoescht","TRUE"
"177","h2axpositive_nucleus_hoechst_ser_spot_1px_stdev","FALSE","8216","1722","0.00524","0.00000626","0.024","hoescht","TRUE"
"178","h2axpositive_nucleus_hoechst_ser_hole_1px_mean","FALSE","8216","1035","0.00403","0","0.0163","hoescht","TRUE"
"179","h2axpositive_nucleus_hoechst_ser_hole_1px_stdev","FALSE","8216","1722","0.00219","0","0.0101","hoescht","TRUE"
"180","h2axpositive_nucleus_hoechst_ser_edge_1px_mean","FALSE","8216","1035","0.21","0.0795","0.405","hoescht","TRUE"
"181","h2axpositive_nucleus_hoechst_ser_edge_1px_stdev","FALSE","8216","1722","0.0409","0.0000258","0.192","hoescht","TRUE"
"182","h2axpositive_nucleus_hoechst_ser_ridge_1px_mean","FALSE","8216","1035","0.0281","0.0104","0.0592","hoescht","TRUE"
"183","h2axpositive_nucleus_hoechst_ser_ridge_1px_stdev","FALSE","8216","1722","0.00604","0.000058","0.0323","hoescht","TRUE"
"184","h2axpositive_nucleus_hoechst_ser_valley_1px_mean","FALSE","8216","1035","0.0394","0.00494","0.142","hoescht","TRUE"
"185","h2axpositive_nucleus_hoechst_ser_valley_1px_stdev","FALSE","8216","1722","0.0114","0.0000148","0.0811","hoescht","TRUE"
"186","h2axpositive_nucleus_hoechst_ser_saddle_1px_mean","FALSE","8216","1035","0.0545","0.0108","0.211","hoescht","TRUE"
"187","h2axpositive_nucleus_hoechst_ser_saddle_1px_stdev","FALSE","8216","1722","0.0137","0.00000149","0.0922","hoescht","TRUE"
"188","h2axpositive_nucleus_hoechst_ser_bright_1px_mean","FALSE","8216","1035","0.0435","0.0148","0.0898","hoescht","TRUE"
"189","h2axpositive_nucleus_hoechst_ser_bright_1px_stdev","FALSE","8216","1722","0.00906","0.00000342","0.0445","hoescht","TRUE"
"190","h2axpositive_nucleus_hoechst_ser_dark_1px_mean","FALSE","8216","1035","0.0378","0.00583","0.123","hoescht","TRUE"
"191","h2axpositive_nucleus_hoechst_ser_dark_1px_stdev","FALSE","8216","1722","0.0109","0.0000055","0.0687","hoescht","TRUE"
"192","h2axpositive_nucleus_alexa488_ser_spot_1px_mean","FALSE","8216","1035","0.0211","0.0088","0.0583","h2ax","TRUE"
"193","h2axpositive_nucleus_alexa488_ser_spot_1px_stdev","FALSE","8216","1722","0.00524","0.00002","0.0257","h2ax","TRUE"
